PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"탄시나정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,201905304,1258139744,"8806575034707,8806575034714,8806575034721,8806575034738,8806575034745,8806575034752,8806575034769,8806575034776,8806575034783",201905304
"리치정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,201803896,1258139744,"8806575033304,8806575033311,8806575033328,8806575033335,8806575033342",201803896
"하이펜에스정","미래바이오제약(주)","유통제품 품질부적합 우려",Y,"",20260514,202303052,1258139744,"8806575040203,8806575040210",202303052
"마그스타에프정","주식회사더유제약","유통제품 품질부적합 우려",Y,20260622000000,20260514,202402153,1138669177,"8806575040609,8806575040616,8806575040623",
"마이티셋정(트라마돌염산염, 아세트아미노펜)","에이치엘비제약(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260511000000,20260511,200804952,2088125623,"8806473013507,8806473013514,8806473013521,8806473013538",
"모닝제약두충염자","모닝제약","관능(성상) 부적합",Y,20260518000000,20260511,200713433,5031636653,"8800683000302,8800683000319,8800683000326,8800683000333,8800683000340",
"씨케이당귀","씨케이(주)","품질부적합(중금속(카드뮴)시험 부적합)",Y,20260608000000,20260511,200612734,2048123491,"8800619005104,8800619005111,8800619005128,8800619005135",
"씨케이당삼","씨케이(주)","품질부적합(중금속(카드뮴)시험 부적합)",Y,"",20260511,200612457,2048123491,"8800619005005,8800619005012,8800619005029,8800619005036",
"네츄럴블랙치약","우리생활건강","품질부적합 우려",N,"",20260508,202000633,6132694871,"",
"엔탭허브오약","(주)엔탭허브","중금속(카드뮴) 부적합",Y,20260513000000,20260508,201900516,3308101200,"8800626014601,8800626014618,8800626014625",
"하이세펜정","(주)한국파마","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260630000000,20260508,200805497,1248115899,"8806530044703,8806530044710,8806530044727,8806530044734,8806530044741,8806530044758",
"뉴트라정","안국뉴팜(주)","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260602000000,20260507,201603986,4938700407,"8800536002309,8800536002316,8800536002323,8800536002330",
"울셋정","(주)비씨월드제약","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260611000000,20260507,200713095,1398111269,"8806531019809,8806531019816,8806531019823,8806531019830,8806531019847",
"울셋세미정","(주)비씨월드제약","불순물(N-nitroso-desmethyl-tramadol) 초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,20260611000000,20260507,200713094,1398111269,"8806531019700,8806531019717,8806531019724,8806531019731",
"풍산산수유","풍산주식회사","잔류농약(트리아조포스) 부적합 (기준 초과)",Y,20260513000000,20260507,199402914,5088102535,"8800679004208,8800679004215,8800679004222,8800679004239",
"풍산숙지황","풍산주식회사","정량법(5-히드록시메틸-2-푸르알데히드) 부적합 (기준 초과)",Y,20260604000000,20260507,197500646,5088102535,"8800679004703,8800679004710,8800679004727",
"풍산오매","풍산주식회사","순도시험(벤조피렌) 부적합 (기준 초과)",Y,20260513000000,20260507,199906439,5088102535,"8800679005700,8800679005717,8800679005724",
"씨케이단삼","씨케이(주)","품질부적합(정량법(실비아놀산B))",Y,"",20260507,200702476,2048123491,"8800619005203,8800619005210,8800619005227,8800619005234",
"트라플엠정","(주)마더스제약","불순물(N-nitrose-desmethyl-tramadol)초과 검출 우려에 따른 사전예방적 조치로 시중 유통품에 대한 영업자 회수",N,"",20260506,201310583,3128629302,"8806228017309,8806228017316,8806228017323",
