DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,GRADE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
1921,"임부금기","단일",D000552,Atomoxetine,"아토목세틴","","[M212533]염산아토목세틴/[M246680]아토목세틴염산염","","캡슐","2등급",20130712,"임부에 대한 안전성 미확립.","","정상"
1922,"임부금기","단일",D000258,Axitinib,"엑시티닙","","[M255256]엑시티닙","","정제","2등급",20130523,"임부에 대한 안전성 미확립. 
동물실험에서 최기형성, 배자독성, 태자독성, 배자손실, 기형(구개열), 골형성변형 보고.","","정상"
1923,"임부금기","단일",D000741,Azacitidine,"아자시티딘","","[M248237]아자시티딘","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20081211,"최기형성 가능성.
동물실험에서 중추신경계기형(뇌탈출/뇌헤르니아), 사지기형(소지증, 내반족(club foot), 합지증, 핍지증) 그리고 기타(소하악증, 위벽파열, 부종 및 늑골기형) 등 보고.","","정상"
1924,"임부금기","단일",D000551,Azelastine,"아젤라스틴","","[M084381]염산아젤라스틴/[M222870]아젤라스틴염산염","","정제","2등급",20130712,"동물실험에서 대량투여에 의해 기형발생 보고.","","정상"
1925,"임부금기","단일",D000148,Azosemide,"아조세미드","","[M084346]아조세미드","","정제","2등급",20130712,"동물실험에서 생후 소실되는 일시적인 골격이상 보고.","","정상"
1926,"임부금기","단일",D000533,Basiliximab,"바실릭시맙","","[M088655]바실릭시맙","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20140915,"","","정상"
1927,"임부금기","단일",D000009,Bazedoxifene,"바제독시펜","","[M253432]바제독시펜아세테이트","","정제","1등급",20130712,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.","","정상"
1928,"임부금기","단일",D000637,Beclomethasone,"베클로메타손","","[M082969]프로피온산베클로메타손/[M239060]베클로메타손 디프로피오네이트/[M246477]베클로메타손 디프로피오네이트 무수물/[M263870]베클로메타손","","정제","2등급",20130712,"전신 코르티코스테로이드를 장기간 고용량 사용시 태아의 자궁내 성장지연 초래 가능성.","","정상"
1929,"임부금기","단일",D000539,Belimumab,"벨리무맙","","[M257212]벨리무맙","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20150520,"임부에 대한 안전성 미확립.
태반 통과 보고.","","정상"
1930,"임부금기","단일",D000441,Belotecan,"벨로테칸","","[M102681]벨로테칸(CKD-602)","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20081211,"동물실험에서 배태자독성 및 기형(안구, 뇌, 두개골, 척추부위) 보고.","","정상"
1931,"임부금기","단일",D000437,Bendamustine,"벤다무스틴","","[A005437]벤다무스틴/[I012358]벤다무스틴염산염/[M118326]벤다무스틴염산염/[M280160]벤다무스틴염산염수화물","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130523,"임부에 대한 안전성 미확립.
동물실험에서 최기형성 및 유전독성 보고.","","정상"
1932,"임부금기","복합",D000563,Benserazide,"벤세라지드","[D000302]Levodopa(레보도파)","[A005563]벤세라지드/[M040122]레보도파","","정제/캡슐/겔","2등급",20130712,"동물실험에서 골격기형 보고.","","정상"
1933,"임부금기","단일",D000440,Benztropine,"벤즈트로핀","","[M050593]벤즈트로핀메실레이트/[M200496]메실산벤즈트로핀/[M247864]벤즈트로핀메실산염","","정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제","2등급",20130712,"임부에 대한 안전성 미확립.","","정상"
1934,"임부금기","단일",D000236,Bepotastine,"베포타스틴","","[M249154]베포타스틴칼슘이수화물/[M255128]베포타스틴베실산염/[M256601]베포타스틴살리실산염/[M262124]베포타스틴니코틴산염/[M263871]베포타스틴","","정제","2등급",20130712,"임부에 대한 안전성 미확립.","","정상"
1935,"임부금기","단일",D000132,Betamethasone,"베타메타손","","[M040218]베타메타손/[M050570]베타메타손인산나트륨/[M070721]디프로피온산베타메타손/[M200675]베타메타손디프로피오네이트/[M223044]베타메타손포스페이트나트륨","","정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제","2등급",20130712,"동물실험에서 기형발생 작용 보고.
태아의 성장 지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에도 영향 끼칠 수 있음.
신생아에서 부신부전증 일으킬 수 있음.","","정상"
1936,"임부금기","단일",D000537,Bevacizumab,"베바시주맙","","[M102193]베바시주맙","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130523,"임부에 대한 안전성 미확립. 
동물실험에서 기형을 포함한 생식독성, 난소부전 사례 발생 보고.","","정상"
1937,"임부금기","단일",D000542,Bleomycin,"블레오마이신","","[M020057]염산블레오마이신/[M088311]황산블레오마이신/[M222854]블레오마이신황산염/[M251485]블레오마이신염산염","","연고/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제","2등급",20081211,"(주사)
동물실험에서 기형발생 보고.","","정상"
1938,"임부금기","단일",D000330,Bortezomib,"보르테조밉","","[M200683]보르테조밉/[M256707]보르테조밉삼합체/[M262826]보르테조밉삼합체","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20081211,"임부에 대한 안전성 미확립.
동물실험에서 태자손실, 생존태자 감소 및 생존태자의 체중감소 보고.","","정상"
1939,"임부금기","단일",D000640,Bromfenac,"브롬페낙","","[M254744]브롬페낙나트륨수화물","","점안용액제/용액용점안분말제","2등급",20150520,"임부에 대한 안전성 미확립.
임신 3기에 프로스타글란딘 합성억제는 태아의 심폐독성(동맥관의 조기봉합 및 폐동맥고혈압), 양수 부족증 및 신부전에 이를 수 있는 신기능 장애 유발 가능성. 임신 말기에 때때로 산모와 태아의 출혈시간 연장.","","정상"
1940,"임부금기","단일",D000134,Brompheniramine,"브롬페니라민","","[M050657]말레인산브롬페니라민/[M247022]브롬페니라민말레산염","","정제/캡슐","2등급",20130712,"","","정상"
1941,"임부금기","단일",D000017,Buprenorpine,"부프레노르핀","","[M088415]염산부프레노르핀/[M101851]부프레노르핀","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/경피흡수제","2등급",20081211,"(주사)
동물실험에서 난산, 서투른 보육행동, 출생자의 생존률 저하 및 체중증가억제 보고.
(패취)
임부에 대한 안전성 미확립.
고용량의 임상시험에서 설하 투여시 신생아의 금단증후군, 자궁내 성장저해 및 소두증 보고.","","정상"
1942,"임부금기","단일",D000016,Buserelin,"부세렐린","","[M257507]부세렐린아세테이트","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/이식물/일반액상분무제/정량액상분무제/일반분말분무제/정량분말분무제","1등급",20081211,"임부에 대한 안전성 미확립.","","정상"
1943,"임부금기","단일",D000331,Butorphanol,"부토르파놀","","[M088405]주석산부토르파놀/[M206210]주석산부토르파놀/[M250986]부토르파놀타르타르산염","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20121121,"임부에 대한 안전성 미확립.
분만중 투여시 태아의 호흡곤란 또는 무호흡 가능성.","","정상"
1944,"임부금기","단일",D000372,Cabazitaxel,"카바지탁셀","","[M251905]카바지탁셀아세톤용매화물","","용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제","2등급",20130523,"임부에 대한 안전성 미확립.","","정상"
