TYPE_NAME,ITEM_SEQ,ITEM_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,ENTP_NAME,CHART,CLASS_CODE,CLASS_NAME,ETC_OTC_NAME,MIX,MAIN_INGR,PROHBT_CONTENT,REMARK,CHANGE_DATE,BIZRNO
"분할주의",202301869,"시타플러스서방정50/1000밀리그램(시타글립틴,메트포르민)",2023June20th,"서방성필름코팅정","(주)씨엠지제약","밝은 녹색의 타원형 서방성 필름코팅정제",03960,"당뇨병용제","전문의약품","복합","[M266925]시타글립틴염산염수화물/[M244179]메트포르민염산염","분할불가","","",1348171976
"분할주의",202301870,"시타플러스서방정50/500밀리그램(시타글립틴,메트포르민)",2023June20th,"서방성필름코팅정","(주)씨엠지제약","연한 파랑색의 양면이 볼록한 타원형 서방성 필름코팅정제",03960,"당뇨병용제","전문의약품","복합","[M266925]시타글립틴염산염수화물/[M244179]메트포르민염산염","분할불가","","",1348171976
"분할주의",202302006,"이글듀오서방정0.3/1000밀리그램(이나보글리플로진, 메트포르민염산염)",2023June29th,"서방성다층정","한올바이오파마(주)","흰색과 연한 분홍색의 타원형 서방성 이층정제",03960,"당뇨병용제","전문의약품","복합","[M283330]이나보글리플로진/[M244179]메트포르민염산염","분할불가","","",3068105479
"분할주의",202302009,"베나메트서방정0.3/1000밀리그램(이나보글리플로진, 메트포르민염산염)",2023June29th,"서방성다층정","대웅바이오(주)","흰색과 연한 분홍색의 타원형 서방성 이층정제",03960,"당뇨병용제","전문의약품","복합","[M283330]이나보글리플로진/[M244179]메트포르민염산염","분할불가","","",1248677584
"분할주의",202302018,"다파시타엠서방정5/50/750밀리그램",2023June30th,"서방성필름코팅정","대원제약(주)","밝은 노란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M258339]다파글리플로진프로판디올수화물/[M251915]시타글립틴인산염수화물/[M283294]메트포르민염산염콜로이드성이산화규소","분할불가","",20250829,2078136336
"분할주의",202302019,"다파시타엠서방정5/50/500밀리그램",2023June30th,"서방성필름코팅정","대원제약(주)","연한 노란색의 양면이 볼록한 타원형의 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M258339]다파글리플로진프로판디올수화물/[M251915]시타글립틴인산염수화물/[M283294]메트포르민염산염콜로이드성이산화규소","분할불가","",20250829,2078136336
"분할주의",202302536,"록사겐서방정75밀리그램(록사티딘아세테이트염산염)",2023August28th,"서방성필름코팅정","신풍제약(주)","흰색의 원형 서방성 필름코팅정",02320,"소화성궤양용제","전문의약품","단일","[M241476]록사티딘아세테이트염산염","분할불가","",20241230,1348103819
"분할주의",202302566,"포시다파엠서방정5/500밀리그램(다파글리플로진프로판디올수화물,메트포르민염산염)",2023August30th,"서방성필름코팅정","대웅바이오(주)","주황색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물","분할불가","",20251107,1248677584
"분할주의",202302567,"포시다파엠서방정10/500밀리그램(다파글리플로진프로판디올수화물,메트포르민염산염)",2023August30th,"서방성필름코팅정","대웅바이오(주)","분홍색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물","분할불가","",20251107,1248677584
"분할주의",202302573,"다플진메트서방정5/500밀리그램(다파글리플로진프로판디올수화물, 메트포르민염산염)",2023August30th,"서방성필름코팅정","동국제약(주)","주황색의 장방형 서방성 필름코팅정",03960,"당뇨병용제","전문의약품","복합","[M244179]메트포르민염산염/[M258339]다파글리플로진프로판디올수화물","분할불가","",20251107,3018508241
