DUR_SEQ,TYPE_NAME,MIX_TYPE,INGR_CODE,INGR_ENG_NAME,INGR_NAME,MIX_INGR,ORI_INGR,CLASS_NAME,FORM_NAME,MAX_DOSAGE_TERM,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,DEL_YN
4304,"투여기간주의","단일",D001300,Bisacodyl,"비사코딜","","[A000477]비사코딜","[02380]하제, 완장제","정제/항문용좌제, 수용성/관장제/장용성당의정","7일",20231108,"","","정상"
4305,"투여기간주의","단일",D001301,Ciclopirox,"시클로피록스","","[A000670]시클로피록스","[02650]기생성 피부질환용제","겔/라카","180일",20190621,"","","정상"
4306,"투여기간주의","단일",D001302,"Echinacea extract","에키나시아엑스","","[M110951]에키나시아 엑스","[02290]기타의 호흡기관용약","정제/액제/산제","56일",20190621,"","","정상"
4307,"투여기간주의","단일",D001303,Imiquimod,"이미퀴모드","","[A000937]이미퀴모드","[02660]피부연화제(부식제를 포함)","크림","112일",20190621,"","","정상"
4308,"투여기간주의","단일",D001304,"Menotrophin HP","메노트로핀 에이치피","","[M113465]메노트로핀HP","[02490]기타의 호르몬제(항호르몬제를 포함)","용액용동결건조분말주사제","무배란증:12일, 난포과자극유도:20일",20190621,"","","정상"
4309,"투여기간주의","단일",D001305,"Pelargonium sidoides","펠라고니움시도이데스","","[A001303]펠라고늄시도이데스/[M267961]펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1)/[M269642]펠라고니움시도이데스11%에탄올건조엑스(5.5∼6.6→1)","[02290]기타의 호흡기관용약","정제/시럽","21일",20190621,"","","정상"
4310,"투여기간주의","단일",D001306,Phenazopyridine,"페나조피리딘","","[A001278]페나조피리딘","[02590]기타의 비뇨생식기관 및 항문용약","정제","2일",20190621,"","","정상"
4311,"투여기간주의","단일",D000487,Tolvaptan,"톨밥탄","","[A005487]톨밥탄/[M252922]톨밥탄분무건조분말","[02190]기타의 순환계용약","정제","30일",20190621,"","","정상"
4312,"투여기간주의","단일",D000564,Xylometazoline,"키실로메타졸린","","[M051554]염산키실로메타졸린","[01320]이비과용제","일반액상분무제","7일",20190621,"","","정상"
4313,"투여기간주의","단일",D000221,"Loteprednol Etabonate","로테프레드놀 에타보네이트","","[M245318]로테프레드놀 에타보네이트","[01310]안과용제","현탁액점안제","14일",20190621,"","","정상"
4314,"투여기간주의","단일",D001184,Dinoprostone,"디노프로스톤","","[A000175]디노프로스톤","[02520]자궁수축제","질정/질좌제, 서방성","2일",20190621,"","","정상"
4315,"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔 프로피오네이트","","[M051539]프로피온산클로베타솔/[M223224]클로베타솔프로피오네이트","[02640]진통.진양.수렴.소염제/[02690]기타의 외피용약","피부크림제/피부연고제/피부현탁액제","14일",20190621,"","","정상"
4316,"투여기간주의","단일",D000479,"Clobetasol Propionate","클로베타솔 프로피오네이트","","[M051539]프로피온산클로베타솔/[M223224]클로베타솔프로피오네이트","[02640]진통.진양.수렴.소염제/[02690]기타의 외피용약","피부로션제/샴푸/일반액상분무제","28일",20190621,"","","정상"
